StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,check_game,check_bucket_boy_1,check_bucket_girl_1,check_bucket_boy_2,check_bucket_girl_2,check_bucket_boy_3,check_bucket_girl_3,check_sample_boy_1,check_sample_girl_1,check_sample_boy_2,check_sample_girl_2,fc_expl_indiv_1,fc_expl_indiv_2,fc_expl_indiv_3,fc_expl_indiv_4,normative_group_1,normative_group_2,inductivePoten_0,inductivePoten_1,inductivePoten_2,innateness_switch_01,innateness_switch_02,innateness_switch_03,innateness_switch_1,innateness_switch_2,check_attn_0,check_attn_1,check_attn_2,age,gender,gender_4_TEXT,race,race_15_TEXT,ed,comment_1,comment_2,comment_3,randomCode,context,explanation,cb,race_15_TEXT - Topics
2019-04-22 08:52:46,2019-04-22 09:00:37,IP Address,100,471,True,2019-04-22 09:00:38,R_0kPK4847WTIMmI1,anonymous,EN,I do consent to participate,No,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Not okay,"
Green-Ball",,"For sure
Green-Ball","
Green-Ball",,,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,31,Male,,White/European American,,"Bachelor's (B.A., B.S.)",no,about a children's story,everything is good,709140,nonstructural,control,girlsGreen,
2019-04-22 08:53:10,2019-04-22 09:01:31,IP Address,100,501,True,2019-04-22 09:01:32,R_sRR0MI9Xg8gmDwR,anonymous,EN,I do consent to participate,Yes,,,Yellow bucket is bigger,Green bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because of the size of the buckets in her classroom,,Not okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,,"
Green-Ball",,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,33,Female,,Black/African American,,"Master's (M.A., M.S.)",no,I think this survey was about thinking about children's games,no,408537,structural,formal,girlsYellow,
2019-04-22 08:47:11,2019-04-22 09:01:40,IP Address,100,868,True,2019-04-22 09:01:40,R_2UVBXfT0UGnZkt8,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because of the size of the buckets in her classroom,,Okay,,"
Green-Ball",,"Maybe
Green-Ball",,"
Green-Ball",,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,55,Male,,"White/European American,Latino/Latina",,"Bachelor's (B.A., B.S.)",No problems,Measuring attitudes regarding gender bias and roles in an illustrative scenario,No suggestions; the survey design seems straightforward and clear enough.,967443,structural,formal,girlsYellow,
2019-04-22 09:02:32,2019-04-22 09:02:34,IP Address,100,1,True,2019-04-22 09:02:34,R_3OdWiDTcPHyo910,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-22 08:58:00,2019-04-22 09:02:38,IP Address,100,278,True,2019-04-22 09:02:39,R_2bKuE7Lqe4MZXMa,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Green-Ball",,,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,31,Female,,White/European American,,High school/GED,none,your opinion on what the children will choose,none,749350,nonstructural,formal,girlsYellow,
2019-04-22 08:57:16,2019-04-22 09:03:02,IP Address,100,345,True,2019-04-22 09:03:02,R_1NrAo4Sy3Q3KoFL,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because Suzy likes playing Yellow-Ball,,Okay,,"
Yellow-Ball","For sure
Yellow-Ball",,,"
Green-Ball",,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,28,Male,,Latino/Latina,,Some college,all clear,understanding basic reading material for kids,none whatsoever. Its good as is.,36919,structural,formal,girlsYellow,
2019-04-22 09:03:03,2019-04-22 09:03:07,IP Address,100,3,True,2019-04-22 09:03:07,R_1JKiXioAUDvglEz,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-22 08:56:49,2019-04-22 09:03:08,IP Address,100,379,True,2019-04-22 09:03:09,R_1QEJr7jrwzihoxc,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Yellow-Ball",,,"Maybe
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,33,Prefer not to specify,,White/European American,,Some college,No.,I don't know.,No.,602096,nonstructural,formal,girlsYellow,
2019-04-22 08:58:18,2019-04-22 09:03:40,IP Address,100,321,True,2019-04-22 09:03:40,R_qUbbEXwkaEQp2CJ,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Green-Ball",,,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,33,Male,,Latino/Latina,,Some college,,,,99710,nonstructural,control,girlsYellow,
2019-04-22 08:46:53,2019-04-22 09:03:48,IP Address,100,1015,True,2019-04-22 09:03:49,R_ufcPPgZos0uafU5,anonymous,EN,I do consent to participate,Yes,,,,,Yellow bucket is bigger,Green bucket is bigger,,,Yellow-Ball,Green-Ball,,,,Because of the size of the buckets in her classroom,,Okay,"
Yellow-Ball","Maybe
Yellow-Ball",,,,"
Yellow-Ball","For sure
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,45,Female,,Native American/Pacific Islander,,"Bachelor's (B.A., B.S.)",,,,981060,structural,control,girlsGreen,
2019-04-22 08:54:39,2019-04-22 09:03:50,IP Address,100,551,True,2019-04-22 09:03:51,R_1pYFXYAGKPEFFqk,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Green-Ball",,"For sure
Green-Ball","
Green-Ball",,,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,69,Male,,White/European American,,Some college,no,not sure,no,145892,nonstructural,control,girlsYellow,
2019-04-22 08:56:13,2019-04-22 09:04:25,IP Address,100,491,True,2019-04-22 09:04:26,R_urFDLLpcGfIeXHr,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Green-Ball",,"For sure
Green-Ball","
Green-Ball",,,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,57,Female,,Latino/Latina,,Some college,no,Decisions,no,426782,nonstructural,control,girlsGreen,
2019-04-22 08:52:06,2019-04-22 09:04:43,IP Address,100,757,True,2019-04-22 09:04:44,R_3oTOqQtO5UD2uq0,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Yellow-Ball",,,"For sure
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,26,Female,,Asian/Asian American,,"Bachelor's (B.A., B.S.)",nothing,its good,nothing,58674,nonstructural,control,girlsYellow,
2019-04-22 08:52:39,2019-04-22 09:05:31,IP Address,100,771,True,2019-04-22 09:05:31,R_2y3qsGP1mhVzfIo,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Green-Ball",,,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,45,Male,,Black/African American,,"Bachelor's (B.A., B.S.)",no,Not sure,No,500038,nonstructural,formal,girlsGreen,
2019-04-22 09:02:48,2019-04-22 09:05:34,IP Address,100,166,True,2019-04-22 09:05:34,R_D0poYxvihDKfeCJ,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Green-Ball",,"For sure
Green-Ball","
Yellow-Ball",,,"Maybe
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,30,Male,,White/European American,,Some college,,,,522419,nonstructural,formal,girlsGreen,
2019-04-22 08:46:30,2019-04-22 09:06:01,IP Address,100,1171,True,2019-04-22 09:06:02,R_pFMdC0yszTzHA8F,anonymous,EN,I do consent to participate,Yes,,,,,Yellow bucket is bigger,Green bucket is bigger,,,Yellow-Ball,Green-Ball,,,,Because of the size of the buckets in her classroom,,Okay,"
Yellow-Ball","Maybe
Yellow-Ball",,,,"
Yellow-Ball",,,"
Yellow-Ball","Maybe
Yellow-Ball",,48,Male,,White/European American,,Some college,none,how you judge others when choice is restrickted,none,484336,structural,formal,girlsGreen,
2019-04-22 09:03:18,2019-04-22 09:06:05,IP Address,100,167,True,2019-04-22 09:06:06,R_3hAyF3ugeeSvzDB,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Yellow-Ball",,,"For sure
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,46,Male,,White/European American,,High school/GED,no,perceptions of a majority,none,620743,nonstructural,control,girlsYellow,
2019-04-22 09:00:27,2019-04-22 09:07:26,IP Address,100,419,True,2019-04-22 09:07:27,R_w7g4JLTWUvLECwV,anonymous,EN,I do consent to participate,Yes,,,,,Green bucket is bigger,Yellow bucket is bigger,,,Yellow-Ball,Green-Ball,,,,Because of the size of the buckets in her classroom,,Okay,"
Yellow-Ball","For sure
Yellow-Ball",,,,"
Yellow-Ball","For sure
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,29,Female,,Latino/Latina,,"Bachelor's (B.A., B.S.)",NOPE,TESTING OUR MEMORY POWER,NOPE,77269,structural,formal,girlsGreen,
2019-04-22 09:05:41,2019-04-22 09:07:57,IP Address,100,136,True,2019-04-22 09:07:58,R_3iUnXdqlls5oNn4,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because of the size of the buckets in her classroom,,Okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,,"
Green-Ball",,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,41,Female,,White/European American,,"Master's (M.A., M.S.)",no,to see what you think of gender,no,771376,structural,formal,girlsYellow,
2019-04-22 09:01:32,2019-04-22 09:08:11,IP Address,100,399,True,2019-04-22 09:08:12,R_1NEwMlCJ5maq9HD,anonymous,EN,I do consent to participate,Yes,,,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Green-Ball,,,,Because of the size of the buckets in her classroom,,Okay,"
Yellow-Ball","For sure
Yellow-Ball",,,,"
Yellow-Ball","For sure
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,27,Male,,White/European American,,"Bachelor's (B.A., B.S.)",good,its nice,nothing,838958,structural,formal,girlsGreen,
2019-04-22 09:05:23,2019-04-22 09:08:39,IP Address,100,195,True,2019-04-22 09:08:40,R_3EYiRH5rgDKDvYo,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Yellow-Ball","For sure
Yellow-Ball",,"
Green-Ball",,,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,33,Female,,White/European American,,"Bachelor's (B.A., B.S.)",no,"how we perceive how changes will create other changes, something in that way",,454961,nonstructural,formal,girlsYellow,
2019-04-22 08:56:21,2019-04-22 09:09:02,IP Address,100,760,True,2019-04-22 09:09:02,R_2q8zdUfeGCBUZ4E,anonymous,EN,I do consent to participate,No,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Green-Ball",,,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,28,Male,,White/European American,,"Master's (M.A., M.S.)",no,this is good,no,718555,nonstructural,control,girlsYellow,
2019-04-22 09:03:42,2019-04-22 09:09:12,IP Address,100,330,True,2019-04-22 09:09:13,R_2zI4BWZC932VKZ9,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because of the size of the buckets in her classroom,,Okay,,"
Yellow-Ball","For sure
Yellow-Ball",,,"
Green-Ball",,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,24,Male,,Click to write Choice 7,,"Bachelor's (B.A., B.S.)",None,Evaluate how predictable children behaviors are.,None,360530,structural,control,girlsYellow,
2019-04-22 09:05:10,2019-04-22 09:09:20,IP Address,100,249,True,2019-04-22 09:09:21,R_2zbz4fJECX7QRmY,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because Suzy likes playing Yellow-Ball,,Not okay,,"
Yellow-Ball","For sure
Yellow-Ball",,,"
Green-Ball",,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,24,Male,,White/European American,,"Bachelor's (B.A., B.S.)",nope,not sure,nope all good,861009,structural,formal,girlsYellow,
2019-04-22 09:04:37,2019-04-22 09:10:16,IP Address,100,338,True,2019-04-22 09:10:16,R_2xLbIUT4RX2MIaQ,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Green-Ball",,"Maybe
Green-Ball","
Green-Ball",,,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,54,Female,,White/European American,,Some college,no,peer pressure to be the same,no,462401,nonstructural,control,girlsGreen,
2019-04-22 09:07:06,2019-04-22 09:10:16,IP Address,100,189,True,2019-04-22 09:10:17,R_3HG2QuORdH5rk9T,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Green-Ball",,,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,25,Male,,White/European American,,"Bachelor's (B.A., B.S.)",No,NA,No,361987,nonstructural,formal,girlsGreen,
2019-04-22 08:56:40,2019-04-22 09:10:41,IP Address,100,841,True,2019-04-22 09:10:42,R_3DbBdgMveVfgT6e,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Green-Ball",,"Maybe
Green-Ball","
Green-Ball",,,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,28,Female,,Click to write Choice 7,,Some college,no,if normalcy is expected,"no suggestions, thank you!",573817,nonstructural,formal,girlsGreen,
2019-04-22 09:06:51,2019-04-22 09:10:51,IP Address,100,240,True,2019-04-22 09:10:52,R_12PemVBGgulnRwW,anonymous,EN,I do consent to participate,Yes,,,,,Yellow bucket is bigger,Green bucket is bigger,,,Yellow-Ball,Green-Ball,,,,Because of the size of the buckets in her classroom,,Okay,"
Green-Ball",,"Maybe
Green-Ball",,,"
Yellow-Ball","For sure
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,41,Male,,White/European American,,"Bachelor's (B.A., B.S.)",no,"I do not pretend to understand the nature of studies. I just do my best, try to be honest, and hope for bonuses. Thank you kindly for the work.",looks solid,884534,structural,control,girlsGreen,
2019-04-22 09:05:12,2019-04-22 09:10:52,IP Address,100,340,True,2019-04-22 09:10:53,R_56kGjWl1UyOKQeZ,anonymous,EN,I do consent to participate,No,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Yellow-Ball","For sure
Yellow-Ball",,"
Yellow-Ball",,,"For sure
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,33,Male,,White/European American,,Some college,no,it is about research studey,no,504830,nonstructural,formal,girlsYellow,
2019-04-22 09:05:48,2019-04-22 09:12:00,IP Address,100,372,True,2019-04-22 09:12:01,R_3NIAs4LmITaIzHe,anonymous,EN,I do consent to participate,Yes,,,The same size,Green bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because Suzy likes playing Yellow-Ball,,Not okay,,"
Green-Ball",,"For sure
Green-Ball",,"
Green-Ball",,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,26,Female,,Latino/Latina,,"Master's (M.A., M.S.)",NO PROBLEMS SOME ONE VERY NICE WELL,GOOD TASK VERY EASY SURVEY TO THE WELL DON,NO THAT OK,141266,structural,control,girlsYellow,
2019-04-22 09:06:10,2019-04-22 09:12:59,IP Address,100,409,True,2019-04-22 09:12:59,R_1Hd7omRylwIDZxd,anonymous,EN,I do consent to participate,Yes,,,,,The same size,Yellow bucket is bigger,,,Green-Ball,Green-Ball,,,,Because of the size of the buckets in her classroom,,Not okay,"
Green-Ball",,"Maybe
Green-Ball",,,"
Yellow-Ball","For sure
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,27,Male,,White/European American,,"Bachelor's (B.A., B.S.)",no,feel free,no,814938,structural,formal,girlsGreen,
2019-04-22 09:06:50,2019-04-22 09:13:14,IP Address,100,384,True,2019-04-22 09:13:15,R_307AMEJFdaROfUD,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Yellow-Ball",,,"For sure
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,37,Female,,White/European American,,Some college,n/a,not sure,n/a,416529,nonstructural,control,girlsYellow,
2019-04-22 09:07:08,2019-04-22 09:13:25,IP Address,100,377,True,2019-04-22 09:13:26,R_3pu3vPsJsgDaYBo,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Green-Ball",,"Maybe
Green-Ball","
Yellow-Ball",,,"Maybe
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,54,Male,,White/European American,,"Bachelor's (B.A., B.S.)",no,I have no idea,no,773094,nonstructural,control,girlsGreen,
2019-04-22 09:05:18,2019-04-22 09:13:25,IP Address,100,487,True,2019-04-22 09:13:26,R_2f1kIt7nLYuAGmy,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Green-Ball",,"Maybe
Green-Ball","
Green-Ball",,,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,44,Female,,White/European American,,"Bachelor's (B.A., B.S.)",no,no idea,nothing,279824,nonstructural,control,girlsGreen,
2019-04-22 09:08:44,2019-04-22 09:13:26,IP Address,100,281,True,2019-04-22 09:13:27,R_qEk2OvPzWpQAFEd,anonymous,EN,I do consent to participate,No,,,,,Yellow bucket is bigger,Green bucket is bigger,,,Yellow-Ball,Green-Ball,,,,Because of the size of the buckets in her classroom,,Okay,"
Green-Ball",,"Maybe
Green-Ball",,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,21,Male,,Native American/Pacific Islander,,Some college,,,,959333,structural,control,girlsGreen,
2019-04-22 09:06:58,2019-04-22 09:14:34,IP Address,100,455,True,2019-04-22 09:14:35,R_Ams11ylJVv3Z6pj,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Green-Ball",,"For sure
Green-Ball","
Green-Ball",,,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,27,Male,,White/European American,,"Bachelor's (B.A., B.S.)",No,It is moderate,Not really for now,559929,nonstructural,formal,girlsGreen,
2019-04-22 09:02:48,2019-04-22 09:16:01,IP Address,100,792,True,2019-04-22 09:16:02,R_RE9oEQLKfPKhC4p,anonymous,EN,I do consent to participate,Yes,,,,,The same size,Yellow bucket is bigger,,,Green-Ball,Green-Ball,,,,Because Suzy likes playing Green-Ball,,Okay,"
Green-Ball",,"For sure
Green-Ball",,,"
Green-Ball",,"For sure
Green-Ball","
Green-Ball",,"For sure
Green-Ball",82,Female,,Black/African American,,"Bachelor's (B.A., B.S.)",no,I don't know,None,884157,structural,control,girlsGreen,
