StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,check_game,check_bucket_boy_1,check_bucket_girl_1,check_bucket_boy_2,check_bucket_girl_2,check_bucket_boy_3,check_bucket_girl_3,check_sample_boy_1,check_sample_girl_1,check_sample_boy_2,check_sample_girl_2,fc_expl_indiv_1,fc_expl_indiv_2,fc_expl_indiv_3,fc_expl_indiv_4,normative_group_1,normative_group_2,inductivePoten_0,inductivePoten_1,inductivePoten_2,innateness_switch_01,innateness_switch_02,innateness_switch_03,innateness_switch_1,innateness_switch_2,check_attn_0,check_attn_1,check_attn_2,age,gender,gender_4_TEXT,race,race_15_TEXT,ed,comment_1,comment_2,comment_3,randomCode,context,explanation,cb
2019-05-30 11:09:41,2019-05-30 11:13:36,IP Address,100,234,True,2019-05-30 11:13:36,R_3CDx3rSbWpUtxex,anonymous,EN,I do consent to participate,Yes,,,Yellow bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Green-Ball,,,,,Because of the size of the buckets in her classroom,,Not okay,,"
Green-Ball",,"For sure
Green-Ball",,"
Green-Ball",,,"For sure
Green-Ball","
Green-Ball",,"For sure
Green-Ball",36,Female,,White/European American,,"Bachelor's (B.A., B.S.)",no,study about a children's story,good,80207,structural,control,girlsYellow
2019-05-30 11:07:43,2019-05-30 11:13:41,IP Address,100,358,True,2019-05-30 11:13:41,R_zYki6Zg7xkEsAAV,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Yellow-Ball",,,"Maybe
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,29,Male,,White/European American,,High school/GED,I did not have any problems.,How people make a decisions based on simple information.,None,768652,nonstructural,control,girlsYellow
2019-05-30 10:23:50,2019-05-30 11:13:50,IP Address,100,2999,True,2019-05-30 11:13:51,R_29vtRyOt8fMX2W0,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Green bucket is bigger,,,Green-Ball,Green-Ball,,,,,Because Suzy likes playing Yellow-Ball,,Okay,,"
Green-Ball",,"For sure
Green-Ball",,"
Yellow-Ball",,"For sure
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,29,Male,,White/European American,,"Bachelor's (B.A., B.S.)",no,"a children's story about eggs ",no,721217,structural,control,girlsYellow
2019-05-30 11:11:01,2019-05-30 11:17:53,IP Address,100,411,True,2019-05-30 11:17:53,R_1OlyFMTj5D7Ju0x,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because of the size of the buckets in her classroom,,Okay,,"
Green-Ball",,"Maybe
Green-Ball",,"
Green-Ball",,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,37,Male,,Click to write Choice 8,,"Bachelor's (B.A., B.S.)",no,genders and decision making,no,283719,structural,formal,girlsYellow
2019-05-30 11:15:49,2019-05-30 11:18:09,IP Address,100,139,True,2019-05-30 11:18:09,R_3HAnfQCyNwkzHX2,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Green-Ball",,,"
Green-Ball",,,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,33,Female,,White/European American,,High school/GED,,,,862075,nonstructural,formal,girlsGreen
2019-05-30 11:12:10,2019-05-30 11:18:37,IP Address,100,386,True,2019-05-30 11:18:37,R_bJi5X1nd69e61bz,anonymous,EN,I do consent to participate,Yes,Yellow bucket is bigger,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Green-Ball",,"For sure
Green-Ball","
Yellow-Ball",,,"Maybe
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,42,Female,,White/European American,,"Bachelor's (B.A., B.S.)",nothing,nice,no,890382,nonstructural,control,girlsGreen
2019-05-30 11:17:26,2019-05-30 11:21:36,IP Address,100,249,True,2019-05-30 11:21:36,R_27e7fQtvVaFJ7o6,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Yellow-Ball",,,"Maybe
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,58,Female,,White/European American,,"Bachelor's (B.A., B.S.)","No, it was very clear.",About how people are influenced by their peers' actions.,No.,82535,nonstructural,control,girlsYellow
2019-05-30 11:15:51,2019-05-30 11:21:52,IP Address,100,361,True,2019-05-30 11:21:53,R_dap60EPXp7jrQXf,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Yellow-Ball",,,"Maybe
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,37,Female,,"White/European American,Latino/Latina",,Some college,No,I don't know,Nothing,633111,nonstructural,formal,girlsYellow
2019-05-30 10:51:30,2019-05-30 11:25:15,IP Address,100,2025,True,2019-05-30 11:25:16,R_XRtmHxXwaMfYMW5,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Green-Ball",,,"
Green-Ball",,,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,31,Male,,White/European American,,"Bachelor's (B.A., B.S.)",No,Perceptions about chance,Increase the payment,647527,nonstructural,formal,girlsGreen
2019-05-30 10:41:44,2019-05-30 11:32:37,IP Address,100,3052,True,2019-05-30 11:32:37,R_ClaAVI0Fgwl61Ed,anonymous,EN,I do consent to participate,Yes,Green bucket is bigger,Yellow bucket is bigger,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Green-Ball",,"For sure
Green-Ball","
Green-Ball",,,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,26,Female,,White/European American,,"Bachelor's (B.A., B.S.)",This no confusing in any other problem,This survey is good thing,The survey is deference chance good improve in the survey,119137,nonstructural,control,girlsYellow
2019-05-30 11:37:17,2019-05-30 11:39:21,IP Address,100,124,True,2019-05-30 11:39:22,R_QghZfOQl6ZdI81P,anonymous,EN,I do consent to participate,Yes,,,,,Yellow bucket is bigger,Green bucket is bigger,,,Yellow-Ball,Green-Ball,,,,Because of the size of the buckets in her classroom,,Okay,"
Yellow-Ball","Maybe
Yellow-Ball",,,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,27,Male,,White/European American,,Some college,,,,563693,structural,control,girlsGreen
2019-05-30 11:37:36,2019-05-30 11:41:05,IP Address,100,208,True,2019-05-30 11:41:05,R_3eshsTOSwdLzygj,anonymous,EN,I do consent to participate,Yes,,,,,Yellow bucket is bigger,Green bucket is bigger,,,Yellow-Ball,Green-Ball,,,,Because of the size of the buckets in her classroom,,Okay,"
Green-Ball",,"Maybe
Green-Ball",,,"
Green-Ball",,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,35,Male,,White/European American,,High school/GED,n/a,Not sure honestly,n/a,563607,structural,formal,girlsGreen
2019-05-30 11:39:05,2019-05-30 11:43:13,IP Address,100,247,True,2019-05-30 11:43:13,R_3Oq7LtywHz6gHgw,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because of the size of the buckets in her classroom,,Okay,,"
Yellow-Ball","For sure
Yellow-Ball",,,"
Green-Ball",,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,28,Male,,"White/European American,Black/African American",,"Bachelor's (B.A., B.S.)",Nope.,Gender conditioning.,Nope!,420933,structural,control,girlsYellow
2019-05-30 11:40:20,2019-05-30 11:46:28,IP Address,100,367,True,2019-05-30 11:46:28,R_00LvFG8BKUSQfGV,anonymous,EN,I do consent to participate,Yes,,,,,Yellow bucket is bigger,Green bucket is bigger,,,Yellow-Ball,Green-Ball,,,,Because of the size of the buckets in her classroom,,Okay,"
Green-Ball",,"Maybe
Green-Ball",,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,57,Male,,White/European American,,Some college,no,not really sure,all good,437799,structural,control,girlsGreen
2019-05-30 11:45:13,2019-05-30 11:48:30,IP Address,100,196,True,2019-05-30 11:48:31,R_29jlxgQg0h4k4NI,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because of the size of the buckets in her classroom,,Okay,,"
Yellow-Ball","For sure
Yellow-Ball",,,"
Green-Ball",,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,41,Female,,White/European American,,Some college,no,reading,no,291814,structural,control,girlsYellow
2019-05-30 11:47:24,2019-05-30 11:49:59,IP Address,100,155,True,2019-05-30 11:50:00,R_1j85UivqbjGdzFR,anonymous,EN,I do consent to participate,No,Yellow bucket is bigger,Green bucket is bigger,,,,,Green-Ball,Green-Ball,,,Because of the size of the buckets in her classroom,,,,Okay,,"
Green-Ball",,"Maybe
Green-Ball","
Green-Ball",,,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,29,Male,,White/European American,,"Bachelor's (B.A., B.S.)",No,I am not really sure.,,459075,nonstructural,formal,girlsYellow
2019-05-30 11:47:44,2019-05-30 11:51:24,IP Address,100,219,True,2019-05-30 11:51:24,R_bKiXbqzHItlGLIt,anonymous,EN,I do consent to participate,Yes,,,,,The same size,The same size,,,Yellow-Ball,Green-Ball,,,,Because Suzy likes playing Green-Ball,,Okay,"
Yellow-Ball","For sure
Yellow-Ball",,,,"
Yellow-Ball","For sure
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,38,Female,,Black/African American,,"Master's (M.A., M.S.)",no problems,nice,good,317178,structural,formal,girlsGreen
2019-05-30 11:45:04,2019-05-30 11:51:52,IP Address,100,407,True,2019-05-30 11:51:52,R_32LaPy13tWvk1eM,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,Green-Ball,Yellow-Ball,,,Because of the size of the buckets in her classroom,,,,Okay,,"
Yellow-Ball","For sure
Yellow-Ball",,"
Yellow-Ball",,,"For sure
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,35,Male,,White/European American,,"Bachelor's (B.A., B.S.)",No problem and no confusion.,How people read a story.,No.,209144,nonstructural,control,girlsYellow
2019-05-30 11:46:07,2019-05-30 11:52:13,IP Address,100,365,True,2019-05-30 11:52:13,R_3gXD6ddWGRNMlP8,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Green-Ball",,"Maybe
Green-Ball","
Green-Ball",,,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,37,Female,,White/European American,,High school/GED,No,How choices are influenced.,,438269,nonstructural,formal,girlsGreen
2019-05-30 11:47:19,2019-05-30 11:52:31,IP Address,100,312,True,2019-05-30 11:52:32,R_4Sjv1NP2kkRJ53H,anonymous,EN,I do consent to participate,Yes,Green bucket is bigger,Green bucket is bigger,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Yellow-Ball","For sure
Yellow-Ball",,"
Yellow-Ball",,,"For sure
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,29,Female,,White/European American,,"Bachelor's (B.A., B.S.)",No,I am not really sure.,,640164,nonstructural,control,girlsGreen
2019-05-30 11:49:00,2019-05-30 11:54:32,IP Address,100,332,True,2019-05-30 11:54:33,R_2YLGk43NlR9CEbP,anonymous,EN,I do consent to participate,No,,,Yellow bucket is bigger,Green bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because of the size of the buckets in her classroom,,Not okay,,"
Green-Ball",,"Maybe
Green-Ball",,"
Green-Ball",,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,26,Male,,Black/African American,,"Bachelor's (B.A., B.S.)",none,difficult to tell.,,837434,structural,formal,girlsYellow
2019-05-30 11:50:51,2019-05-30 11:56:26,IP Address,100,334,True,2019-05-30 11:56:27,R_RVq0xbm1s8yMsQV,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because of the size of the buckets in her classroom,,Okay,,"
Yellow-Ball","For sure
Yellow-Ball",,,"
Green-Ball",,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,27,Female,,White/European American,,Some college,Not at all,Easy decision making,It was perfect and cute,584735,structural,control,girlsYellow
2019-05-30 11:55:05,2019-05-30 11:57:50,IP Address,100,165,True,2019-05-30 11:57:51,R_1gAumjcU61DrAVY,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because of the size of the buckets in her classroom,,Okay,,"
Yellow-Ball","For sure
Yellow-Ball",,,"
Green-Ball",,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,28,Male,,White/European American,,"Bachelor's (B.A., B.S.)",No problems,I'm not sure,I have no suggestions,259884,structural,formal,girlsYellow
2019-05-30 11:46:53,2019-05-30 12:02:01,IP Address,100,908,True,2019-05-30 12:02:02,R_XgGqnX7zusT3TUt,anonymous,EN,I do consent to participate,No,Green bucket is bigger,Green bucket is bigger,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Yellow-Ball","For sure
Yellow-Ball",,"
Yellow-Ball",,,"For sure
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,25,Male,,White/European American,,"Bachelor's (B.A., B.S.)",,Not sure,,496833,nonstructural,formal,girlsYellow
2019-05-30 12:00:43,2019-05-30 12:03:15,IP Address,100,152,True,2019-05-30 12:03:16,R_pi4OcTx3iYgLsNb,anonymous,EN,I do consent to participate,Yes,Green bucket is bigger,Yellow bucket is bigger,,,,,Green-Ball,Yellow-Ball,,,Because Suzy likes playing Yellow-Ball,,,,Okay,,"
Yellow-Ball","For sure
Yellow-Ball",,"
Yellow-Ball",,,"Maybe
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,22,Male,,Click to write Choice 8,,"Bachelor's (B.A., B.S.)",none,not sure,none,539234,nonstructural,control,girlsYellow
2019-05-30 11:47:08,2019-05-30 12:04:09,IP Address,100,1020,True,2019-05-30 12:04:09,R_0PcQf4kXmvtTVWV,anonymous,EN,I do consent to participate,Yes,,,,,Green bucket is bigger,Green bucket is bigger,,,Yellow-Ball,Green-Ball,,,,Because Suzy likes playing Green-Ball,,Okay,"
Yellow-Ball","For sure
Yellow-Ball",,,,"
Yellow-Ball","For sure
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,40,Female,,White/European American,,"Bachelor's (B.A., B.S.)",,Not really sure.,,756159,structural,control,girlsGreen
2019-05-30 11:57:55,2019-05-30 12:04:23,IP Address,100,387,True,2019-05-30 12:04:23,R_2ZDl2hXjGDKEMw7,anonymous,EN,I do consent to participate,Yes,,,,,Yellow bucket is bigger,Green bucket is bigger,,,Yellow-Ball,Green-Ball,,,,Because of the size of the buckets in her classroom,,Okay,"
Green-Ball",,"Maybe
Green-Ball",,,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,34,Female,,Black/African American,,Some college,I didn't have any problems,I think it was to see if when other easier choices are offered do people tend to go for that choice or their typical choice.,No additional suggestions.,659883,structural,formal,girlsGreen
2019-05-30 12:05:06,2019-05-30 12:10:09,IP Address,100,303,True,2019-05-30 12:10:10,R_2tAxanHSVwQfXQm,anonymous,EN,I do consent to participate,Yes,,,,,Yellow bucket is bigger,Yellow bucket is bigger,,,Yellow-Ball,Green-Ball,,,,Because of the size of the buckets in her classroom,,Okay,"
Yellow-Ball","For sure
Yellow-Ball",,,,"
Yellow-Ball","For sure
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,55,Male,,White/European American,,"Bachelor's (B.A., B.S.)",nothing,good,no,554567,structural,control,girlsGreen
2019-05-30 12:10:06,2019-05-30 12:13:49,IP Address,100,223,True,2019-05-30 12:13:50,R_3Mb1f21uPYdn7sk,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because of the size of the buckets in her classroom,,Okay,,"
Green-Ball",,"For sure
Green-Ball",,"
Green-Ball",,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,23,Male,,Click to write Choice 7,,"Bachelor's (B.A., B.S.)",,,,574283,structural,control,girlsYellow
2019-05-30 12:12:57,2019-05-30 12:15:29,IP Address,100,152,True,2019-05-30 12:15:29,R_3MxJjkbMFXFeEkO,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because of the size of the buckets in her classroom,,Okay,,"
Yellow-Ball","Maybe
Yellow-Ball",,,"
Green-Ball",,,"For sure
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,36,Male,,White/European American,,"Bachelor's (B.A., B.S.)",No.,I don't know.,Not really.,592308,structural,formal,girlsYellow
2019-05-30 12:08:15,2019-05-30 12:19:18,IP Address,100,663,True,2019-05-30 12:19:18,R_1fkOtT4ekxeoBcC,anonymous,EN,I do consent to participate,Yes,,,,,Yellow bucket is bigger,The same size,,,Yellow-Ball,Green-Ball,,,,Because of the size of the buckets in her classroom,,Okay,"
Green-Ball",,"Maybe
Green-Ball",,,"
Green-Ball",,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,42,Male,,White/European American,,"Master's (M.A., M.S.)",no problems,Game study,,219675,structural,formal,girlsGreen
2019-05-30 11:53:28,2019-05-30 12:19:47,IP Address,100,1579,True,2019-05-30 12:19:47,R_3QDK3ZyQT1nh9xW,anonymous,EN,I do consent to participate,Yes,Yellow bucket is bigger,Green bucket is bigger,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Yellow-Ball","Maybe
Yellow-Ball",,"
Yellow-Ball",,,"Maybe
Yellow-Ball",,"
Yellow-Ball","Maybe
Yellow-Ball",,33,Female,,White/European American,,Some college,,,,563574,nonstructural,formal,girlsGreen
2019-05-30 12:18:36,2019-05-30 12:20:18,IP Address,100,101,True,2019-05-30 12:20:18,R_1psLKFhhGXhsczE,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Green-Ball",,"Maybe
Green-Ball","
Green-Ball",,,,,"
Yellow-Ball","For sure
Yellow-Ball",,19,Male,,White/European American,,Some college,I missed a question because of the automatic answer format.,I do not know.,Remove the automated system and keep the questions static.,178712,nonstructural,control,girlsGreen
2019-05-30 12:24:40,2019-05-30 12:25:14,IP Address,100,34,True,2019-05-30 12:25:15,R_3RwIPxG2nCLTXpK,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-30 12:19:14,2019-05-30 12:25:28,IP Address,100,373,True,2019-05-30 12:25:28,R_1PUhy5RxURKZouu,anonymous,EN,I do consent to participate,Yes,,,Green bucket is bigger,Yellow bucket is bigger,,,Green-Ball,Yellow-Ball,,,,,Because of the size of the buckets in her classroom,,Not okay,,"
Yellow-Ball","For sure
Yellow-Ball",,,"
Green-Ball",,,"Maybe
Green-Ball","
Yellow-Ball","For sure
Yellow-Ball",,32,Male,,Click to write Choice 7,,Some college,No.,No comment.,No changes.,769168,structural,control,girlsYellow
2019-05-30 12:20:15,2019-05-30 12:26:17,IP Address,100,361,True,2019-05-30 12:26:17,R_2al4L3K2rE5XVqp,anonymous,EN,I do consent to participate,Yes,Same size,Same size,,,,,,,Yellow-Ball,Green-Ball,,Because Suzy likes playing Green-Ball,,,,Okay,"
Yellow-Ball","For sure
Yellow-Ball",,"
Yellow-Ball",,,"For sure
Yellow-Ball",,"
Yellow-Ball","For sure
Yellow-Ball",,27,Female,,Black/African American,,"Master's (M.A., M.S.)",no probleams,nice,good,656021,nonstructural,formal,girlsGreen
